a0_min_let.sg	diag-base	1	Error: diagnosis failed: return origins: expression 5 is not typed in cloud-work/anon-record-origin/probes/a0_min_let.sg
a0_min_let.sg	diag-after	0	
b1_let_field.sg	diag-base	1	Error: diagnosis failed: return origins: expression 5 is not typed in cloud-work/anon-record-origin/probes/b1_let_field.sg
b1_let_field.sg	diag-after	0	
b1_let_field.sg	run-after-vm	1	Error: MIR validation failed: function main: local L0 (p): unknown type
b1_let_field.sg	run-after-llvm	1	Error: MIR validation failed: function main: local L0 (p): unknown type
b2_binary.sg	diag-base	1	Error: diagnosis failed: return origins: expression 25 is not typed in cloud-work/anon-record-origin/probes/b2_binary.sg
b2_binary.sg	diag-after	0	
b2_binary.sg	run-after-vm	1	Error: MIR validation failed: function main: local L2 (tmp_struct2): unknown type
b2_binary.sg	run-after-llvm	1	Error: MIR validation failed: function main: local L2 (tmp_struct2): unknown type
b3_task_field.sg	diag-base	1	error SEM3021 cloud-work/anon-record-origin/probes/b3_task_field.sg:6:25 a task still borrows 'l' at this return
b3_task_field.sg	diag-after	1	error SEM3021 cloud-work/anon-record-origin/probes/b3_task_field.sg:6:25 a task still borrows 'l' at this return
b3_task_field.sg	run-after-vm	1	error SEM3021 cloud-work/anon-record-origin/probes/b3_task_field.sg:6:25 a task still borrows 'l' at this return
b3_task_field.sg	run-after-llvm	1	error SEM3021 cloud-work/anon-record-origin/probes/b3_task_field.sg:6:25 a task still borrows 'l' at this return
b4_ref_return.sg	diag-base	1	Error: diagnosis failed: return origins: expression 3 is not typed in cloud-work/anon-record-origin/probes/b4_ref_return.sg
b4_ref_return.sg	diag-after	0	
b4_ref_return.sg	run-after-vm	1	Error: MIR validation failed: function probe: local L1 (p): unknown type
b4_ref_return.sg	run-after-llvm	1	Error: MIR validation failed: function probe: local L1 (p): unknown type
b5_discard.sg	diag-base	1	Error: diagnosis failed: return origins: expression 3 is not typed in cloud-work/anon-record-origin/probes/b5_discard.sg
b5_discard.sg	diag-after	0	
b5_discard.sg	run-after-vm	1	Error: MIR validation failed: function main: local L0 (tmp_struct1): unknown type
b5_discard.sg	run-after-llvm	1	Error: MIR validation failed: function main: local L0 (tmp_struct1): unknown type
c1_generic.sg	diag-base	1	error SEM3046 cloud-work/anon-record-origin/probes/c1_generic.sg:3:42 no matching overload for id
c1_generic.sg	diag-after	1	error SEM3046 cloud-work/anon-record-origin/probes/c1_generic.sg:3:42 no matching overload for id
c2_tag.sg	diag-base	1	error SEM3046 cloud-work/anon-record-origin/probes/c2_tag.sg:2:42 no matching overload for Some
c2_tag.sg	diag-after	1	error SEM3046 cloud-work/anon-record-origin/probes/c2_tag.sg:2:42 no matching overload for Some
c3_tuple.sg	diag-base	1	Error: diagnosis failed: return origins: expression 7 is not typed in cloud-work/anon-record-origin/probes/c3_tuple.sg
c3_tuple.sg	diag-after	1	Error: diagnosis failed: return-origin analysis unfinished: [{SourceKey:cloud-work/anon-record-origin/probes/c3_tuple.sg Span:0:57-80 Reason:outgoing reference has unresolved or captured provenance} {SourceKey:cloud-work
c4_array.sg	diag-base	1	Error: diagnosis failed: return origins: expression 6 is not typed in cloud-work/anon-record-origin/probes/c4_array.sg
c4_array.sg	diag-after	1	Error: diagnosis failed: return-origin analysis unfinished: [{SourceKey:cloud-work/anon-record-origin/probes/c4_array.sg Span:0:57-77 Reason:outgoing reference has unresolved or captured provenance} {SourceKey:cloud-work
c5_generic_bound.sg	diag-base	1	error SEM3046 cloud-work/anon-record-origin/probes/c5_generic_bound.sg:3:65 no matching overload for id
c5_generic_bound.sg	diag-after	1	error SEM3046 cloud-work/anon-record-origin/probes/c5_generic_bound.sg:3:65 no matching overload for id
c6_compare.sg	diag-base	1	Error: diagnosis failed: return origins: expression 5 is not typed in cloud-work/anon-record-origin/probes/c6_compare.sg
c6_compare.sg	diag-after	1	Error: diagnosis failed: return origins: expression 11 is not typed in cloud-work/anon-record-origin/probes/c6_compare.sg
c7_if_expr.sg	diag-base	1	Error: diagnosis failed: return origins: expression 5 is not typed in cloud-work/anon-record-origin/probes/c7_if_expr.sg
c7_if_expr.sg	diag-after	1	Error: diagnosis failed: return-origin analysis unfinished: [{SourceKey:cloud-work/anon-record-origin/probes/c7_if_expr.sg Span:0:90-107 Reason:outgoing reference has unresolved or captured provenance} {SourceKey:cloud-w
e1_empty_array.sg	diag-base	1	Error: diagnosis failed: return origins: expression 1 is not typed in cloud-work/anon-record-origin/probes/e1_empty_array.sg
